,Prefectures,Communes,Precincts,Ballots,Registered,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072
4522,KORCE,KORCE_KORCE,36611,305,569,0,0,0,0,0,35,2,0,0,0,0,0,0,0,3,0,0,0,6,3,0,1,0,1,0,17,0,0,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,108,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
4523,KORCE,KORCE_KORCE,3662,220,222,1,0,0,0,1,27,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,17,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
4524,KORCE,KORCE_KORCE,36621,193,515,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58,6,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1
4525,KORCE,KORCE_KORCE,3663,458,467,0,0,0,0,0,44,0,0,0,3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,44,1,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,7,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,6
4526,KORCE,KORCE_KORCE,3664,387,674,0,0,0,0,0,14,0,0,0,4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,39,1,0,150,2,0,0,0,0,0,0,0,2,0,0,0,0,0,126,25,0,0,0,1,5,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,5
4527,KORCE,KORCE_KORCE,36641,351,353,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,24,1,0,178,1,0,0,0,0,0,0,0,3,0,0,0,1,1,91,7,0,3,0,0,5,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,5
4528,KORCE,KORCE_KORCE,3665,363,365,1,1,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,1,187,0,1,2,0,0,0,0,0,4,0,0,0,0,0,110,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4529,KORCE,KORCE_KORCE,36651,439,441,0,0,0,0,1,16,0,0,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,22,0,1,238,0,0,0,0,0,0,0,0,0,0,1,1,1,2,125,9,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
4530,KORCE,KORCE_KORCE,3666,226,601,0,0,0,0,0,24,1,0,1,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,8,1,0,99,1,0,0,0,0,0,0,0,3,0,0,0,0,0,59,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8
4531,KORCE,KORCE_KORCE,3667,519,522,1,0,2,0,1,33,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,48,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,18,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
4532,KORCE,KORCE_KORCE,3668,326,581,0,0,0,0,0,28,0,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,22,0,0,134,0,0,0,0,0,0,0,0,5,0,1,0,0,2,107,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,4
4533,KORCE,KORCE_KORCE,36681,326,326,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,12,0,0,181,0,0,0,0,0,4,0,0,3,0,11,0,0,0,73,13,5,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
4534,KORCE,KORCE_KORCE,3669,389,390,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,1,163,0,0,0,0,0,1,0,0,7,1,0,0,0,0,152,7,0,0,0,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,9
4535,KORCE,KORCE_KORCE,36691,367,670,0,0,0,0,0,23,0,3,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,1,180,0,0,0,0,0,0,0,0,3,0,2,0,1,0,113,5,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
4536,KORCE,KORCE_KORCE,3670,374,845,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,3,164,0,0,0,0,0,0,0,0,9,0,0,0,0,1,137,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4537,KORCE,KORCE_KORCE,36701,374,813,0,0,3,0,0,8,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,18,0,0,170,0,0,0,0,0,0,0,1,1,1,0,0,0,1,134,15,0,4,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,4
4538,KORCE,KORCE_KORCE,3671,411,748,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,34,1,1,171,1,0,0,0,0,3,0,0,6,0,0,0,0,1,160,9,1,2,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,0,0,1,2
4539,KORCE,KORCE_KORCE,36711,355,705,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,2,34,1,1,134,0,0,0,0,0,0,0,0,9,0,0,0,0,1,115,22,1,0,0,2,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,6,3
4540,KORCE,KORCE_KORCE,3672,207,439,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,91,0,0,0,1,0,0,0,0,4,0,0,0,0,0,80,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
